player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year
Tony Wolters,San Diego,16,5-10,165,L/R,"Vista, CA",Rd 3 by Indians (2010),Rockies (2016),ABD Bulldogs,NULL,2010
Kevin Gausman,Louisiana State,17,6-4,180,L/R,"Centennial, CO",Rd 1 by Orioles (2012),Orioles (2013),HS team,NULL,2010
Zach Lee,Louisiana State,18,6-3,190,R/R,"McKinney, TX",Rd 1 by Dodgers (2010),None,Team Kelley,NULL,2010
Michael Foltynewicz,Texas,19,6-5,200,R/R,"Minooka, IL",Rd 1 by Astros (2010),Astros (2014),Illinois Sparks,NULL,2010
Ryne Stanek,Arkansas,20,6-4,180,R/R,"Overland Park, KS",Rd 1 by Rays (2013),Rays (2017),Mac N Seitz,NULL,2010
Robert Aviles,Florida,21,6-4,193,L/R,"Suffern, NY",Rd 7 by Indians (2010),None,Diesel,NULL,2010
Tyrell Jenkins,Baylor,22,6-4,180,R/R,"Henderson, TX",Rd 1 Comp by Cardinals (2010),Braves (2016),None,NULL,2010
Kellen Sweeney,None,23,6-0,180,L/R,"Cedar Rapids, IA",Rd 2 by Blue Jays (2010),None,HS team,NULL,2010
Albert (AJ) Vanegas,Stanford,24,6-3,205,R/R,"Alameda, CA",Rd 7 by Padres (2010),None,NorCal 2010 Baseball,NULL,2010
Chevez Clarke,Georgia Tech,25,6-0,185,S/R,"Marietta, GA",Rd 1 by Angels (2010),None,East Cobb Braves,NULL,2010
Reginald Golden,Alabama,26,5-11,205,R/R,"Wetumpka, AL",Rd 2 by Cubs (2010),None,Metro League,NULL,2010
Luke Jackson,Miami,27,6-2,180,R/R,"SW Ranches, FL",Rd 1 Comp by Rangers (2010),Rangers (2015),None,NULL,2010
Cameron Bedrosian,Louisiana State,28,6-0,195,R/R,"Senoia, GA",Rd 1 by Angels (2010),Angels (2014),Homeplate Chilidawgs 16u,NULL,2010
Drew Cisco,Georgia,29,5-10,150,L/R,"Mt. Pleasant, SC",Rd 6 by Reds (2010),None,Diamond Devils 16's,NULL,2010
Christian Yelich,Miami,30,6-4,190,L/R,"Thousand Oaks, CA",Rd 1 by Marlins (2010),Marlins (2013),ABD Bulldogs,NULL,2010
Matt Lipka,Alabama,31,6-1,192,R/R,"Frisco, TX",Rd 1 Comp by Braves (2010),None,Dallas Tigers,NULL,2010
Robby Rowland,Oregon,32,6-6,205,R/R,"Cloverdale, CA",Rd 3 by Diamondbacks (2010),None,None,NULL,2010
Delino DeShields,Louisiana State,33,5-9,165,R/R,"Atlanta, GA",Rd 1 by Astros (2010),Rangers (2015),Atlanta Blue Jays,NULL,2010
Taijuan Walker,None,34,6-4,190,S/R,"Yuciapa, CA",Rd 1 Comp by Mariners (2010),Mariners (2013),So Cal Elite,NULL,2010
Jake Skole,Georgia Tech,35,5-8,140,L/R,"Woodstock, GA",Rd 1 by Rangers (2010),None,East Cobb Yankees,NULL,2010
Garin Cecchini,Louisiana State,36,6-2,200,L/R,"Lake Charles, LA",Rd 4 by Red Sox (2010),Red Sox (2014),SE TX Sundevils,NULL,2010
Sean Coyle,North Carolina,37,5-9,175,R/R,"Chalfont, PA",Rd 3 by Red Sox (2010),None,Philly Bandits,NULL,2010
Kellin Deglan,Florida International,38,6-2,200,L/R,"Langley, BC",Rd 1 by Rangers (2010),None,None,NULL,2010
Kris Bryant,San Diego,39,6-5,205,R/R,"Las Vegas, NV",Rd 1 by Cubs (2013),Cubs (2015),Angels Elite,NULL,2010
Brian Ragira,Stanford,40,6-2,175,R/R,"Arlington, TX",Rd 4 by Giants (2013),None,Dallas Tigers,NULL,2010
Scott Frazier,Pepperdine,41,6-6,205,R/R,"Upland, CA",Rd 5 by Phillies (2010),None,OC Connie Mack-Giants,NULL,2010
Zach Alvord,Auburn,42,6-0,180,R/R,"Alpharetta, GA",Rd 18 by Braves (2010),None,East Cobb Braves,NULL,2010
Stefan Sabol,Oregon,43,6-2,205,R/R,"Aliso Viejo, CA",Rd 17 by Mets (2012),None,ABD Bulldogs,NULL,2010
Ty Linton,North Carolina,44,6-3,210,R/R,"Matthews, NC",Rd 14 by Diamondbacks (2010),None,On Deck O's '09,NULL,2010
Jesse Biddle,Oregon,45,6-6,225,L/L,"Philadelphia, PA",Rd 1 by Phillies (2010),Braves (2018),Philadelphia Senators National,NULL,2010
Kevin Ziomek,Vanderbilt,46,6-2,180,R/L,"Amherst, MA",Rd 2 by Tigers (2013),None,Amherst Amer. Legion,NULL,2010
Ryan Bolden,Mississippi,47,6-3,190,R/L,"Madison, MS",Rd 1 Comp by Angels (2010),None,None,NULL,2010
Mason Williams,South Carolina,48,6-0,148,L/R,"Winter Garden, FL",Rd 4 by Yankees (2010),Yankees (2015),Midland Redskins,NULL,2010
Marcus Littlewood,San Diego,49,6-3,190,S/R,"St George, UT",Rd 2 by Mariners (2010),None,Utah Marshalls,NULL,2010
Drew Vettleson,Oregon State,50,6-1,185,L/B,"Tracyton, WA",Rd 1 Comp by Rays (2010),None,NW Timberjacks,NULL,2010
Bryce Harper,None,1,6-3,195,L/R,"Las Vegas, NV",Rd 1 by Nationals (2010),Nationals (2012),None,NULL,2011
Dylan Bundy,Texas,2,6-1,200,S/R,"Sperry, OK",Rd 1 by Orioles (2011),Orioles (2012),DBAT,NULL,2011
Daniel Norris,Clemson,3,6-2,180,L/L,"Johnson City, TN",Rd 2 by Blue Jays (2011),Blue Jays (2014),East Cobb Yankees 18u,NULL,2011
Francisco Lindor,Florida State,4,5-11,170,S/R,"Clermont, FL",Rd 1 by Indians (2011),Indians (2015),Team Mizuno,NULL,2011
Archie Bradley,Oklahoma,5,6-4,210,R/R,"Muskogee, OK",Rd 1 by Diamondbacks (2011),Diamondbacks (2015),None,NULL,2011
Derek (Bubba) Starling,Nebraska,6,6-4,180,R/R,"Gardner, KS",Rd 1 by Royals (2011),Royals (2019),None,NULL,2011
Jose Fernandez,South Florida,7,6-3,215,R/R,"Tampa, FL",Rd 1 by Marlins (2011),Marlins (2013),None,NULL,2011
Josh Bell,Texas,8,6-3,205,S/R,"Irving, TX",Rd 2 by Pirates (2011),Pirates (2016),Dallas Patriots,NULL,2011
Javier Baez,Jacksonville,9,6-1,205,R/R,"Jacksonville, FL",Rd 1 by Cubs (2011),Cubs (2014),East Cobb Braves,NULL,2011
Henry Owens,Miami,10,6-6,195,L/L,"Huntington Beach, CA",Rd 1 Comp by Red Sox (2011),Red Sox (2015),ABD Bulldogs,NULL,2011
Robert Stephenson,Washington,11,6-3,180,R/R,"Martinez, CA",Rd 1 by Reds (2011),Reds (2016),Norcal 2011,NULL,2011
Blake Swihart,Texas,12,6-1,175,S/R,"Rio Rancho, NM",Rd 1 by Red Sox (2011),Red Sox (2015),Albuquerque BB Academy,NULL,2011
Taylor Guerrieri,South Carolina,13,6-3,180,R/R,"N. Augusta, SC",Rd 1 by Rays (2011),Blue Jays (2018),Diamond Devils 16's Black,NULL,2011
Dillon Howard,Arkansas,14,6-2,200,R/R,"Searcy, AR",Rd 2 by Indians (2011),None,Midland Redskins,NULL,2011
Joe Ross,UCLA,15,6-2,180,R/R,"Oakland, CA",Rd 1 by Padres (2011),Nationals (2015),Norcal,NULL,2011
Tyler Beede,Vanderbilt,16,6-4,200,R/R,"Auburn, MA",Rd 1 by Giants (2014),Giants (2018),VA Canes,NULL,2011
Derek Fisher,Virginia,17,6-3,205,L/R,"Rexmont, PA",Rd 1 Comp by Astros (2014),Astros (2017),Mid-Atlantic Rookies,NULL,2011
Michael Kelly,Florida,18,6-5,195,R/R,"Boynton Beach, FL",Rd 1 Comp by Padres (2011),None,Orlando Scorpions,NULL,2011
Travis Harrison,Southern California,19,6-2,215,R/R,"Aliso Viejo, CA",Rd 1 Comp by Twins (2011),None,ABD Bulldogs,NULL,2011
Billy Flamion,Oregon,20,6-1,192,L/L,"Modesto, CA",Rd 15 by Dodgers (2013),None,Norcal 2011,NULL,2011
Hudson Boyd,Florida,21,6-2,235,R/R,"Fort Myers, FL",Rd 1 Comp by Twins (2011),None,Midland Redskins,NULL,2011
Austin Hedges,UCLA,22,6-1,185,R/R,"San Juan Capistrano, CA",Rd 2 by Padres (2011),Padres (2015),Elite Baseball,NULL,2011
Dillon Maples,North Carolina,23,6-3,197,R/R,"West End, NC",Rd 14 by Cubs (2011),Cubs (2017),Canes North,NULL,2011
Phillip Evans,San Diego State,24,5-10,180,R/R,"Carlsbad, CA",Rd 15 by Mets (2011),Mets (2017),San Diego Show,NULL,2011
Jake Cave,Louisiana State,25,6-1,180,L/L,"Hampton, VA",Rd 6 by Yankees (2011),Twins (2018),Canes Travel Team,NULL,2011
Julius Gaines,Florida International,26,6-0,165,R/R,"Locust Grove, GA",Rd 32 by Red Sox (2011),None,Georgia Seminoles,NULL,2011
Tyler Marlette,UCF,27,5-11,195,R/R,"Oviedo, FL",Rd 5 by Mariners (2011),None,FTB Mizuno,NULL,2011
Trevor Story,Louisiana State,28,6-0,170,R/R,"Irving, TX",Rd 1 Comp by Rockies (2011),Rockies (2016),Dallas Patriots,NULL,2011
Dwight Smith,Georgia Tech,29,5-11,185,L/R,"Peachtree City, GA",Rd 1 Comp by Blue Jays (2011),Blue Jays (2017),East Cobb Braves,NULL,2011
Brandon Nimmo,Arkansas,30,6-3,175,R/R,"Cheyenne, WY",Rd 1 by Mets (2011),Mets (2016),None,NULL,2011
Charlie Tilson,Illinois,31,6-0,165,L/L,"Wilmette, IL",Rd 2 by Cardinals (2011),White Sox (2016),None,NULL,2011
Hunter Cole,Georgia,32,6-1,185,R/R,"Moore, SC",Rd 26 by Giants (2014),None,Diamond Devils 17U Blue,NULL,2011
Kevin Matthews,Virginia,33,5-11,175,R/L,"Richmond Hill, GA",Rd 1 by Rangers (2011),None,Midland Redskins,NULL,2011
Senquez Golson,Mississippi,34,5-10,185,R/R,"Pascagoula, MS",Rd 8 by Red Sox (2011),None,None,NULL,2011
Nicholas Burdi,Louisville,35,6-3,210,R/R,"Downers Grove, IL",Rd 2 by Twins (2014),Pirates (2018),Longshots,NULL,2011
Joshua Tobias,Florida,36,5-9,194,S/R,"Greensboro, NC",Rd 31 by Nationals (2011),None,North Canes,NULL,2011
Christian Lopes,Southern California,37,6-0,185,R/R,"Huntington Beach, CA",Rd 7 by Blue Jays (2011),None,ABD Bulldogs,NULL,2011
Eric Haase,Ohio State,38,5-11,190,R/R,"Westland, MI",Rd 7 by Indians (2011),Indians (2018),A. Green,NULL,2011
Daniel Vogelbach,Florida,39,5-11,280,L/R,"N. Ft. Myers, FL",Rd 2 by Cubs (2011),Mariners (2016),SWFL Baseball Underclassmen Blue,NULL,2011
Christian Montgomery,None,40,6-1,240,R/R,"Indianapolis, IN",Rd 11 by Mets (2011),None,Indiana Mustangs,NULL,2011
Brandon Sedell,Florida,41,6-1,208,R/R,"Ft Lauderdale, FL",None,None,Midland Redskins,NULL,2011
Matthew Dean,Texas,42,6-2,190,R/R,"Highland Village, TX",Rd 13 by Blue Jays (2011),None,Dallas Yankees,NULL,2011
Carl Thomore,Rutgers,43,6-2,212,R/R,"East Brunswick, NJ",Rd 2 by Rockies (2011),None,None,NULL,2011
Kyle Crick,None,44,6-3,220,None,"Sherman, TX",Rd 1 Comp by Giants (2011),Giants (2017),None,NULL,2011
Brandon Martin,Oregon State,45,5-11,160,R/R,"Corona, CA",Rd 1 Comp by Rays (2011),None,ABD OC,NULL,2011
Joe Musgrove,San Diego State,46,6-5,225,R/R,"La Mesa, CA",Rd 1 Comp by Blue Jays (2011),Astros (2016),None,NULL,2011
Andrew Suarez,Miami,47,6-2,200,L/L,"Miami, FL",Rd 2 by Nationals (2014),Giants (2018),None,NULL,2011
Dylan Davis,Oregon State,48,6-0,200,R/R,"Redmond, WA",Rd 3 by Giants (2014),None,Chaffey,NULL,2011
Cameron Gallagher,East Carolina,49,6-3,210,R/R,"Lancaster, PA",Rd 2 by Royals (2011),Royals (2017),Mid-Atlantic Rookies,NULL,2011
Tyler Goeddel,UCLA,50,6-4,175,R/R,"Hillsbourgh, CA",Rd 1 Comp by Rays (2011),Phillies (2016),NorCal,NULL,2011
Carlos Correa,Miami,1,6-3,190,R/R,"Santa Isabel, PR",Rd 1 by Astros (2012),Astros (2015),Team Mizuno of PR,Big athletic shortstop with power arm and power bat. Outstanding at many PG events including incredible showing at World Showcase PG All American Game,2012
Lucas Giolito,UCLA,2,6-6,230,R/R,"Santa Monica, CA",Rd 1 by Nationals (2012),Nationals (2016),SGV Arsenal,"Up to 96 mph at WWBA, Recently up to 100. Good breaking ball and command. Outstanding at many PG events. PG All American Game Currently recovering from an injury.",2012
Byron Buxton,Georgia,3,6-1,175,R/R,"Baxley, GA",Rd 1 by Twins (2012),Twins (2015),Round Trip Baseball,"Super Athlete, ++ runner, also 94 mph on mound. Stood out at PG events.",2012
Lance McCullers,Florida,4,6-2,205,L/R,"Tampa, FL",Rd 1 Comp by Astros (2012),Astros (2015),Tampa Warriors,Upper 90s and potential + breaking ball. Also excellent hitter with power. Outstanding at many PG events. PG All American Game,2012
Courtney Hawkins,Texas,5,6-3,210,R/R,"Corpus Christi, TX",Rd 1 by White Sox (2012),None,Houston Banditos,"Huge RH Power, Ball flies off barrel, Ran 6.62 at PG, + arm. Outstanding at many PG events. PG All American Game",2012
Joey Gallo,Louisiana State,6,6-5,205,L/R,"Henderson, NV",Rd 1 Comp by Rangers (2012),Rangers (2015),S Nevada Titans,Big time Lefthanded Bat with huge power also big arm 94 across diamond and off mound. Outstanding at many PG events. PG All American Game,2012
Max Fried,UCLA,7,6-3,170,L/L,"Encino, CA",Rd 1 by Padres (2012),Braves (2017),SGV Arsenal,Excellent lefty with command of three pitches. Low to mid 90s. Outstanding at many PG events. PG All American Game,2012
David Dahl,Auburn,8,6-2,185,L/R,"Birmingham, AL",Rd 1 by Rockies (2012),Rockies (2016),Team Alabama,High Level Bat. Serious tools. Outstanding at PG events. PG All American Game,2012
Albert Almora,Miami,9,6-2,175,R/R,"Hialeah, FL",Rd 1 by Cubs (2012),Cubs (2016),Florida Legends,Outstanding strong athlete with high ceiling tools. Outstanding at PG events. PG All American Game,2012
Walker Weickel,Miami,10,6-6,205,R/R,"Orlando, FL",Rd 1 Comp by Padres (2012),None,Orlando Scorpions,Tall athletic pitcher with very high ceiling. Mid 90s with easy arm. Outstanding at many PG events. PG All American Game,2012
Tanner Rahier,San Diego,11,6-2,205,R/R,"Indian Wells, CA",Rd 2 by Reds (2012),None,ABD Bulldogs,"Big arm, excellent all around player. + hitter with power and low 90s from mound. Outstanding at many PG events. PG All American Game",2012
Trey Williams,Pepperdine,12,6-1,211,R/R,"Saugus, CA",Rd 7 by Phillies (2013),None,San Diego Show,"Can flat out hit, Serious Hitting Tools and big power! Defense stands out. Outstanding at many PG events. PG All American",2012
Matthew Smoral,North Carolina,13,6-8,225,L/L,"Solon, OH",Rd 1 Comp by Blue Jays (2012),None,Midland Redskins,"Big LHP, Easy arm action, up to 94 mph, Fast arm, Sharp breaking ball, Outstanding at many PG events. PG All American Game",2012
Duane Underwood,Georgia,14,6-2,205,R/R,"Marietta, GA",Rd 2 by Cubs (2012),Cubs (2018),East Cobb Astros,Athletic RHP with power arm. Easy mid to higher 90s. Outstanding at many PG events. PG All American Game,2012
Jesse Winker,Florida,15,6-3,190,L/L,"Windermere, FL",Rd 1 Comp by Reds (2012),Reds (2017),FTB Mizuno,"LH Bat Stands Out, Can Flat out hit, Big power and very strong arm. Outstanding at many PG events. PG All American Game",2012
Lewis Brinson,Florida,16,6-4,180,R/R,"Tamarac, FL",Rd 1 by Rangers (2012),Brewers (2017),South Florida Elite,Big athletic outfielder with excellent raw potential. + runner and shows power. Outstanding at many PG events.,2012
Lucas Sims,Clemson,17,6-2,195,R/R,"Lawrenceville, GA",Rd 1 by Braves (2012),Braves (2017),Team Gwinnett,"Power mid 90s RHP. Good athlete. Clean delivery, high ceiling. Outstanding at many PG events. PG All American Game",2012
Ty Hensley,Mississippi,18,6-5,220,S/R,"Edmond, OK",Rd 1 by Yankees (2012),None,Texas Sun Devils,Big strong two way player with power arm and power bat. Outstanding at PG events. Coming on strong this spring,2012
Zach Eflin,UCF,19,6-5,200,R/R,"Chuluota, FL",Rd 1 Comp by Padres (2012),Phillies (2016),Mizuno,"Smooth RHP with 93 mph fastball, keeps getting better. Outstanding at many PG events",2012
Addison Russell,Auburn,20,6-1,210,R/R,"Pace, FL",Rd 1 by Athletics (2012),Cubs (2015),FTB Mizuno,"Strong athlete, Serious Juice in Bat. Outstanding at many PG events. PG All American Game",2012
Gavin Cecchini,Mississippi,21,6-1,180,R/R,"Lake Charles, LA",Rd 1 by Mets (2012),Mets (2016),Texas Sundevils,"Good Athlete, highest level hitter and outstanding middle infield tools. Outstanding at many PG events",2012
D.J. Davis,None,22,6-0,170,L/R,"Wiggins, MS",Rd 1 by Blue Jays (2012),None,Royals Baseball Club,"Flies around the bases, very good athlete, projectable bat, Good in Jupiter.",2012
Hunter Virant,UCLA,23,6-3,172,R/L,"Camarillo, CA",Rd 11 by Astros (2012),None,So Cal Cardinals,Low to mid 90s lefty who can really pitch. Outstanding at PG events. PG All American Game,2012
Corey Seager,South Carolina,24,6-3,190,L/R,"Kannapolis, NC",Rd 1 by Dodgers (2012),Dodgers (2015),Dirtbags,"Smooth athletic player, excellent hands, very good bat, projects large. Outstanding at many PG events. PG All American Game",2012
Rio Ruiz,Southern California,25,6-2,195,L/R,"Covina, CA",Rd 4 by Astros (2012),Braves (2016),SGV Arsenal,"Excellent Hitter, very good bat speed, top defensive skills, also up to 93 on mound. Outstanding at many PG events. PG All American Game",2012
Billy (Nick) Williams,Texas A&M,26,6-3,195,L/L,"La Marque, TX",Rd 2 by Rangers (2012),Phillies (2017),Houston Banditos,"Easy LH Swing With big Power, Excellent Athlete, Outstanding at PG events. PG All American Game",2012
Ty Buttrey,Arkansas,27,6-6,210,L/R,"Matthews, NC",Rd 4 by Red Sox (2012),Angels (2018),South Charlotte Panthers,"Big, high ceiling RHP, 94 mph, good stuff. Good at many PG events.",2012
Austin Fairchild,TCU,28,6-1,175,R/L,"Deer Park, TX",Rd 16 by Royals (2012),None,Houston Heat,Fast arm 93 mph lefty that projects very large. Outstanding at many PG events. PG All American Game,2012
Carson Kelly,Oregon,29,6-2,200,R/R,"Portland, OR",Rd 2 by Cardinals (2012),Cardinals (2016),Robinson Construction,"Talented All Around Player. 90+ arm, good bat, good athlete. Outstanding at PG events",2012
Taylore Cherry,North Carolina,30,6-9,260,R/R,"Dayton, OH",Rd 32 by White Sox (2015),None,Midland Redskins,"Extra Big Strong RHP, Easy low 90's up to 94. Outstanding at many PG events. PG All American Game",2012
Clate Schmidt,Clemson,31,6-2,175,S/R,"Acworth, GA",Rd 20 by Tigers (2016),None,Team Elite,"Very fast arm, 96 mph, sharp breaking ball, very athletic. Outstanding at many PG events. PG All American Game",2012
Christopher (CJ) Hinojosa,Texas,32,5-11,180,R/R,"Spring, TX",Rd 11 by Giants (2015),None,Houston Banditos,Outstanding all around player. Good bat with power. Outstanding at many PG events. PG All American Game,2012
Clint Coulter,Arizona State,33,6-3,215,R/R,"Camas, WA",Rd 1 by Brewers (2012),None,Bobby Valentine AA,Big strong catcher with big time bat. Very good in Jupiter. Moving up fast. Outstanding at PG events.,2012
Nick Travieso,Miami,34,6-3,200,R/R,"Pembroke Pines, FL",Rd 1 by Reds (2012),None,South Florida Elite,"Power arm RHP, mid 90s. Outstanding at PG events, reaching upper 90's this spring",2012
Stryker Trahan,Mississippi,35,6-1,215,L/R,"Scott, LA",Rd 1 by Diamondbacks (2012),None,Texas Sun Devils,"Oustanding tools, very athletic, 6.67 60, 1.85 pop, and some juice in bat. Outstanding at many PG events",2012
Shane Watson,Southern California,36,6-4,195,R/R,"Bellflower, CA",Rd 1 Comp by Phillies (2012),None,Yak Baseball West,"Put himself on map at 17u PG WWBA, Up to 93 at Area Codes",2012
Alec Rash,Missouri,37,6-5,200,R/R,"Adel, IA",Rd 2 by Phillies (2012),None,HS team,Lights out at PG Indoor! Every fastball 91-93 mph with more in the tank. Sharp breaking ball as well. Up to 95 this spring,2012
Wyatt Mathisen,Texas,38,6-2,215,R/R,"Corpus Christi, TX",Rd 2 by Pirates (2012),Diamondbacks (2020),South Texas Sliders,Very good bat. Stood out at WWBA and Area Code. Outstanding at PG events including showed big bat at PG World,2012
Mitch Nay,Arizona State,39,6-3,195,R/R,"Chandler, AZ",Rd 1 Comp by Blue Jays (2012),None,Mountain West,Big time bat with big power potential,2012
Keon Barnum,Miami,40,6-4,224,L/L,"Tampa, FL",Rd 1 Comp by White Sox (2012),None,Dawg Pound,Excellent Power Potential and Bat Speed. Good athlete for size. Outstanding at many PG events. PG All American Game,2012
Kolby Copeland,None,41,6-2,186,L/R,"Bossier City, LA",Rd 3 Comp by Marlins (2012),None,Texas Sun Devils,Serious hitting ability and athletic. Could move way up next spring.  Outstanding at PG events.,2012
Alex Bregman,Louisiana State,42,5-11,180,R/R,"Albuquerque, NM",Rd 1 by Astros (2015),Astros (2016),Albuquerque Baseball Academy,Solid all around player. One of the best hitters in the class. Shows power. Outstanding at many PG events. PG All American Game,2012
Edwin Diaz,None,43,6-3,170,R/R,"Naguabo, PR",Rd 3 by Mariners (2012),Mariners (2016),Team Mizuno PR,"Very projectable RHP, smooth easy arm action, can already reach mid 90's. Outstanding at many PG events. Up to 94 @PG World",2012
Avery Romero,Florida,44,6-1,175,R/R,"St. Augustine, FL",Rd 3 by Marlins (2012),None,FTB Mizuno,"Good player, Can really hit, Squares Ball Up consistently. Outstanding at many PG events",2012
Jose Orlando Berrios,None,45,6-1,187,R/R,"Bayamon, PR",Rd 1 Comp by Twins (2012),Twins (2016),Potros Las Lomas,"Very fast arm, up to 93 mph at PG National and East Coast Pro as well as PG World.",2012
Mitchell Brown,San Diego,46,6-2,210,R/R,"Rochester, MN",Rd 2 by Indians (2012),None,Mn Starz,Fastball up to 93. Good off speed as well. Been very good this spring,2012
Daniel Robertson,UCLA,47,6-1,190,R/R,"Upland, CA",Rd 1 Comp by Athletics (2012),Rays (2017),ABD Bulldogs,"Good all around player, the bat stands out in a big way. Outstanding at many PG events.",2012
Jameis Winston,Florida State,48,6-4,208,S/R,"Hueytown, AL",Rd 15 by Rangers (2012),None,Team Alabama,Big Time QB prospect. Serious baseball tools. Outstanding at many PG events. PG All American Game,2012
Andrew Pullin,Oregon,49,6-0,185,L/B,"Centralia, WA",Rd 5 by Phillies (2012),None,NW Timberjacks,"Strong athlete, serious tools, big hitting ability. Outstanding at many PG events. PG All American Game",2012
Tyler Gonzales,Texas,50,6-2,180,R/R,"San Antonio, TX",Rd 1 Comp by Blue Jays (2012),None,FTB Mizuno,"Low 90's FB, sharp breaking ball, also shows well with bat. Outstanding at many PG events.",2012
Clint Frazier,Georgia,1,6-0,190,R/R,"Loganville, GA",Rd 1 by Indians (2013),Yankees (2017),Team Elite,"Showed all 5 tools @ PG National. 6.4 runner, 98 mph from OF, Big power and bat speed, Very good at WWBA and PG AA",2013
Robert Kaminsky,North Carolina,2,6-0,190,S/L,"Englewood Cliffs, NJ",Rd 1 by Cardinals (2013),Cardinals (2020),Tri-State Arsenal,"Lights out LHP, Easy FB up to 94 mph and an absolute hammer to go with it.",2013
Kohl Stewart,Texas A&M,3,6-3,195,R/R,"Tomball, TX",Rd 1 by Twins (2013),Twins (2018),Houston Banditos,"Very interesting RHP who we have seen up to 96 mph with an outstanding, hard breaking ball",2013
Dominic Smith,Southern California,4,6-1,200,L/L,"Los Angeles, CA",Rd 1 by Mets (2013),Mets (2017),Yak Baseball West,"Showed outstanding hitting ability with power @ PG National, Game looks easy to him, Very good at all WWBA events and PG AA Game Also a top prospect on mound 90-92 mph LHP",2013
Austin Meadows,Clemson,5,6-3,200,L/L,"Grayson, GA",Rd 1 by Pirates (2013),Pirates (2018),Team Elite,"Outstanding Athlete, Huge Potential with bat, Ran 6.31 @ PG National, Very good at PG AA Game",2013
John Paul Crawford,Southern California,6,6-2,180,L/R,"Lakewood, CA",Rd 1 by Phillies (2013),Phillies (2017),Yak West,"Showed outstanding defensive ability and hitting tools @ PG National. Extremely high ceiling, continued to impress at WWBA WC",2013
Reese McGuire,San Diego,7,6-1,190,L/R,"Kent, WA",Rd 1 by Pirates (2013),Blue Jays (2018),Baden 18U,Outstanding defensive catcher and left handed hitter with very good power potential. Stood out at PG Nationl,2013
Trey Ball,Texas,8,6-6,175,L/L,"New Castle, IN",Rd 1 by Red Sox (2013),None,Indiana Prospects,Easy AA and already up to 93 mph @ WWBA. Very good runner and left handed hitter as well. High level 2-way talent,2013
Nick Ciuffo,South Carolina,9,6-1,207,L/R,"Charleston, SC",Rd 1 by Rays (2013),Rays (2018),Diamond Devils,"Outstanding at PG National, 1.83 pop time and very good left handed bat with power",2013
Jon Denney,Arkansas,10,6-2,200,R/R,"Yukon, OK",Rd 3 by Red Sox (2013),None,DBAT/Marucci Elite,Outsanding at PG World. Good defensive catcher with power in his bat. Very good at WWBA and Area Codes,2013
Phil Bickford,Cal State Fullerton,11,6-4,185,R/R,"Ventura, CA",Rd 1 by Giants (2015),Brewers (2020),None,Interesting low 90's arm,2013
Ian Clarkin,San Diego,12,6-2,190,L/L,"San Diego, CA",Rd 1 by Yankees (2013),None,San Diego Show,Very good low 90's LHP at WWBA and PG. Have seen up to 93 mph. Showed very good arm @ PG National,2013
Hunter Harvey,None,13,6-3,175,R/R,"Catawba, NC",Rd 1 by Orioles (2013),None,None,Big power arm that showed well at ECP,2013
Devin Williams,Missouri,14,6-3,172,R/R,"Florissant, MO",Rd 2 by Brewers (2013),Brewers (2019),St. Louis Pirates,"Very good arm, low 90's @ PG National. Up to 93 at WWBA World Championship. Very high ceiling. 94 @ PG Indoor, projects",2013
Ryan Boldt,Nebraska,15,6-1,185,L/R,"Red Wing, MN",Rd 2 by Rays (2016),None,Ohio Warhawks,"Very good @ PG National, ran a 6.46 and showed very well with the bat and really projects. MVP PG AA Game",2013
Matt Krook,Oregon,16,6-2,190,L/L,"Hillsborough, CA",Rd 1 Comp by Marlins (2013),None,None,Low 90's with a very good breaking ball at Area Codes,2013
Connor Jones,Virginia,17,6-3,205,R/R,"Chesapeake, VA",Rd 2 Comp by Cardinals (2016),None,Evoshield Canes,Lights out at PG National 90-93 mph with a good breaking ball.,2013
Oscar Mercado,Florida State,18,6-2,175,R/R,"Tampa, FL",Rd 2 by Cardinals (2013),Indians (2019),Marucci Elite,"Outstanding defender, very good all around tools now and really projects, Stood out @ PG National",2013
Travis Demeritte,South Carolina,19,6-1,185,R/R,"Statham, GA",Rd 1 by Rangers (2013),Tigers (2019),East Cobb Braves,"Very fast bat, ball jumps, plus defender, up to 91 on mound, hit well @ PG National. Stood out at PG Tourney's as well",2013
Chris Okey,Clemson,20,6-0,175,R/R,"Mt Dora, FL",Rd 2 by Reds (2016),None,FTB Chandler,"Very good defensive catcher and all around player, Hit very well @ PG National",2013
Cavan Biggio,Notre Dame,21,6-1,185,L/R,"Houston, TX",Rd 5 by Blue Jays (2016),Blue Jays (2019),Houston Heat,"Can flat out hit, Always squares the ball up and makes hard contact. Outstanding @ PG National",2013
Billy McKinney,TCU,22,6-1,195,L/L,"Plano, TX",Rd 1 by Athletics (2013),Yankees (2018),DBAT Mustangs,Showed easy smooth left handed swing with very good bat speed and power potential @ PG National,2013
AJ Puk,Florida,23,6-6,205,L/L,"Cedar Rapids, IA",Rd 1 by Athletics (2016),Athletics (2019),HS baseball/Canes Evoshield Baseball,Outstanding 2 way talent. Throws very easy and up to 92 mph on the mound and easy power with the bat. Extremely high ceiling.,2013
